user_name;user_id;accommodation_id;accommodation_name;accommodation_address;accommodation_city;accommodation_postal_code;accommodation_country;accommodation_type;distribution;max_guests;last_update
"Almanza de Lucio SRL";291;14;"Villa Irene playa";"Avenida Paola, 95, 57º A";"Vall Velázquez";04627;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3},{""beds"":3}]}";11;"2021-02-15 17:01:56"
"Global Munguía-Domenech";715;15;"Hostal Sergio resort";"Ruela Robles, 7, 6º 0º";"La Venegas";83744;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":3},{""beds"":1},{""beds"":3}]}";15;"2021-06-08 11:17:47"
"Grupo Adorno-Acevedo";754;16;"Apartamento Malak ";"Travesía Samuel, 4, 89º B";"Mateo de Ulla";16993;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":1},{""beds"":2},{""beds"":2},{""beds"":2},{""beds"":1}]}";11;"2021-09-24 10:15:08"
"Centro Atencio";461;17;"Casa rural Biel resort";"Avinguda Rivera, 53, 57º E";"A Lerma del Barco";11958;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";2;"2020-06-13 15:00:59"
"Cedillo y Marrero SA";471;18;"Villa Francisco park";"Travesía Santiago, 604, Bajo 8º";"Peláez del Bages";76301;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":2},{""beds"":2},{""beds"":1},{""beds"":2},{""beds"":3},{""beds"":3}]}";16;"2020-10-26 07:05:01"
Arce-Márquez;885;19;"Apartamentos Rodrigo ";"Praza Pacheco, 7, 30º E";"A Parra";96396;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1}]}";1;"2021-09-14 08:35:51"
Gimeno-Ballesteros;459;20;"Apartamentos Úrsula park";"Travesía Márquez, 985, Ático 1º";"Cervantes del Penedès";89312;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1}]}";1;"2021-04-04 06:18:44"
"Márquez y Vicente S. de H.";587;21;"Villa Blanca resort";"Camino Linares, 8, Entre suelo 8º";"Anguiano del Puerto";74168;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3},{""beds"":1}]}";7;"2021-10-17 10:48:18"
"Sosa, Anaya y Contreras SRL";517;22;"Hostal Silvia ";"Travesía Haro, 6, 1º E";"Os Casas de Arriba";38989;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3}]}";5;"2021-09-16 17:19:44"
"Giménez y Atencio e Hijos";163;23;"Hotel Héctor ";"Avinguda Helena, 705, 13º C";"San Paz";90762;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3}]}";6;"2021-06-12 01:55:20"
"Becerra y Deleón";851;24;"Apartamento Aitana resort";"Travesía Quintanilla, 49, 45º D";"Roque de San Pedro";23646;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":3},{""beds"":1},{""beds"":2}]}";6;"2020-11-17 13:09:00"
"Quiñónez, Urbina y Pelayo y Flia.";998;25;"Apartamentos Juan José park";"Ruela África, 43, Bajo 9º";"Reina de la Sierra";77716;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3}]}";3;"2021-03-18 20:23:57"
"Asociación Navarrete";881;26;"Hotel Antonia ";"Paseo Cadena, 9, Ático 0º";"Rosales de San Pedro";38627;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":1},{""beds"":2},{""beds"":2},{""beds"":1},{""beds"":2}]}";13;"2021-09-15 03:47:12"
"Altamirano-Cotto y Flia.";516;27;"Villa Juan resort";"Camino Encarnación, 191, 5º F";"Os Ortega de Lemos";50765;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3}]}";7;"2021-09-21 19:05:52"
"Asociación Castañeda";927;28;"Apartamento Lara playa";"Avinguda Murillo, 437, Bajo 6º";"Corral de las Torres";46926;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":3},{""beds"":2},{""beds"":3},{""beds"":2},{""beds"":3},{""beds"":3}]}";19;"2020-07-30 18:19:20"
"Briseño de Montero y Asoc.";270;29;"Hostal Rafael resort";"Passeig Samuel, 8, 3º C";"O Ojeda";39240;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":2},{""beds"":3},{""beds"":2},{""beds"":2}]}";14;"2021-10-08 14:41:48"
"Delafuente-Ruiz y Flia.";121;30;"Hostal Naia ";"Plaça Rascón, 24, 39º D";"Rico del Puerto";55366;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3}]}";5;"2021-01-08 14:12:00"
"Otero y Arroyo e Hijos";805;31;"Apartamentos Alex park";"Carrer Aranda, 338, 2º E";"Vall Corral del Bages";30204;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2},{""beds"":3}]}";10;"2021-05-11 04:29:18"
"Márquez, Cárdenas y Silva S. de H.";B9B;32;"Apartamento Lucía park";"Travessera Linares, 603, 22º D";"Villa Botello";76782;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":1},{""beds"":1},{""beds"":1},{""beds"":1}]}";6;"2019-11-21 12:29:06"
"Centro Lovato";730;33;"Hotel Nuria resort";"Travesía Ríos, 2, 64º D";"La Ledesma de Lemos";87771;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":2},{""beds"":2},{""beds"":3}]}";9;"2021-02-01 09:15:40"
"Márquez, Cárdenas y Silva S. de H.";898;34;"Apartamentos Natalia ";"Calle Marco, 3, Bajos";"Puente del Puerto";67380;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":3},{""beds"":3},{""beds"":3},{""beds"":1}]}";14;"2021-03-11 14:47:48"
"Centro Sanabria-Loera";782;35;"Villa María Pilar ";"Calle María Pilar, 3, 99º 7º";"Os Simón de Ulla";18248;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";3;"2021-06-07 16:22:14"
"Bravo, Matos y Barreto y Flia.";779;36;"Apartamento Alejandra ";"Camino Sergio, 5, 68º D";"L' Romo";08942;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":1},{""beds"":1},{""beds"":3},{""beds"":3},{""beds"":3}]}";11;"2021-08-19 19:05:14"
"Asociación Castañeda";927;37;"Casa rural Yeray playa";"Paseo Clara, 85, Ático 7º";"Los Delatorre";30084;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":3}]}";6;"2021-10-24 19:12:21"
"Roldán-Zúñiga SRL";962;38;"Casa rural Celia playa";"Plaça Palomo, 272, 55º B";"Ozuna del Bages";47567;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";3;"2020-06-28 21:02:14"
"Maldonado y Gámez";612;39;"Villa Noa playa";"Camino Samuel, 8, 48º A";"Los Duran del Pozo";00753;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3},{""beds"":2}]}";8;"2020-10-16 16:31:07"
"Corporación Pérez-Hurtado";96;40;"Hotel Jordi playa";"Plaza Bustos, 43, 6º 4º";"Tejada del Bages";18293;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":3},{""beds"":1},{""beds"":1}]}";7;"2020-01-27 20:01:04"
"Centro Olvera-Guajardo";129;41;"Villa Victoria resort";"Ronda Andrés, 86, 28º C";"Adame Medio";56318;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":1},{""beds"":3},{""beds"":1},{""beds"":3},{""beds"":3},{""beds"":2}]}";18;"2020-09-04 22:54:51"
"Ávalos de Paz";131;42;"Casa rural Claudia ";"Plaça Emilia, 8, 6º C";"Os Urrutia";53449;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";2;"2020-12-15 02:11:19"
Cazares-Abeyta;982;43;"Villa Gloria resort";"Praza Benavídez, 3, 4º B";"Ruiz Alta";67708;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3},{""beds"":2}]}";7;"2020-01-19 18:15:39"
"Air Nava SRL";433;44;"Apartamentos Alicia resort";"Passeig Agosto, 874, Bajo 0º";"Arribas de las Torres";53264;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2},{""beds"":1}]}";8;"2021-10-28 17:26:32"
"Gestora Frías";660;45;"Hostal Cristian playa";"Paseo Raquel, 19, 22º C";"Vall Rosario";45727;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";2;"2020-11-19 03:46:20"
"Corporación Paredes y Flia.";794;46;"Apartamentos Inmaculada park";"Travessera Cornejo, 1, 1º B";"L' Ros";77912;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2}]}";6;"2021-07-02 13:46:28"
"Asociación Mesa";221;47;"Apartamento Leo resort";"Travessera Julia, 51, Bajos";"Noriega de las Torres";82668;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1}]}";1;"2021-07-07 02:51:19"
"Global Otero";673;48;"Apartamentos Leo resort";"Plaça Casillas, 1, 46º F";"Las Bermejo del Mirador";08896;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2},{""beds"":1}]}";5;"2020-08-16 20:58:02"
Vela-Feliciano;828;49;"Apartamento Rubén playa";"Carrer Nora, 337, 84º B";"As Blanco del Pozo";40840;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":2}]}";8;"2021-08-04 11:16:51"
"Vergara-Rivas e Hijos";26;50;"Villa Alejandra resort";"Plaza María, 197, 76º B";"Villa Santamaría Alta";46046;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":1},{""beds"":2},{""beds"":2}]}";11;"2020-02-13 15:24:16"
"Sisneros y Estrada";596;51;"Hotel Nil ";"Passeig Hernádez, 4, 19º A";"Cortez del Barco";86202;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":3},{""beds"":2},{""beds"":1},{""beds"":1},{""beds"":1}]}";10;"2020-01-23 05:42:11"
Parra-Cotto;383;52;"Casa rural Juana resort";"Calle Miguel, 791, 5º F";"San Meléndez";90958;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":2},{""beds"":1},{""beds"":3},{""beds"":2},{""beds"":1}]}";9;"2019-11-19 12:22:57"
"Jaime, Echevarría y Jiménez e Hijo";863;53;"Casa rural Guillem ";"Ronda Josefa, 886, Entre suelo 0º";"Os Gamboa Medio";58325;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1}]}";2;"2020-02-08 00:35:11"
"Cazares y Bernal e Hija";748;54;"Casa rural Ander park";"Carrer Alicea, 94, 20º C";"Los Jaime";68169;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";3;"2020-03-29 16:46:16"
"Arribas y Aparicio e Hija";1000;55;"Hotel Gonzalo park";"Ruela Rodrigo, 2, 10º D";"San Santos de la Sierra";26077;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1}]}";1;"2020-06-20 07:44:31"
"Batista-Saavedra SA";268;56;"Casa rural Rosa ";"Ronda Oliver, 102, 66º E";"Cardona de Lemos";99225;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3}]}";4;"2020-09-11 15:09:42"
"Barajas y Samaniego";141;57;"Apartamentos Nadia resort";"Calle Marrero, 26, 85º F";"Dueñas del Barco";98114;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3}]}";5;"2020-11-18 20:09:44"
"Viajes Rodríquez e Hijo";453;58;"Apartamentos Jan ";"Travessera Bruno, 30, 83º B";"L' Fierro";85602;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3},{""beds"":3}]}";11;"2021-10-12 14:26:53"
"Rodrigo, Osorio y Concepción e Hija";525;59;"Casa rural Nora ";"Avinguda Estévez, 94, 9º 3º";"Os Lemus de San Pedro";71516;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":1}]}";6;"2021-07-23 13:11:58"
"Viajes Valle-Piñeiro";134;60;"Hotel Claudia resort";"Plaça Carlota, 243, Entre suelo 0º";"Meléndez del Puerto";91403;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":1},{""beds"":1},{""beds"":1},{""beds"":2}]}";12;"2021-07-06 22:22:59"
"Centro Bahena e Hijos";146;61;"Hostal Antonio resort";"Avenida Silva, 9, 5º F";"Las Gastélum del Pozo";92073;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":3}]}";6;"2021-04-27 08:31:28"
"Barrientos y Guzmán e Hijos";777;62;"Apartamentos Mara resort";"Ronda Carvajal, 1, Bajos";"San Villar del Barco";25326;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3}]}";6;"2020-08-14 08:18:56"
"Air Roldán S. de H.";217;63;"Villa Jordi playa";"Camiño Razo, 620, Bajo 1º";"Galván del Vallès";81326;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":1},{""beds"":3}]}";8;"2021-03-14 02:50:20"
"Viajes Perales e Hijo";292;64;"Apartamentos Jesús resort";"Ruela Mireles, 286, 2º";"Villa Gutiérrez";21741;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":3}]}";8;"2020-01-26 14:47:57"
"Márquez y Vicente S. de H.";587;65;"Hotel Ian park";"Plaza César, 25, 08º D";"El Cepeda";13047;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":3},{""beds"":2},{""beds"":3},{""beds"":2}]}";14;"2021-05-17 19:14:10"
"Regalado y Delgado y Asoc.";636;66;"Villa Natalia park";"Camiño Tamayo, 549, 08º E";"Cortez del Pozo";17590;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":1}]}";3;"2020-02-17 00:13:34"
"Asociación Carvajal y Flia.";658;67;"Hotel Iván playa";"Travesía Nieto, 892, 98º B";"Los Agosto";89336;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":1},{""beds"":3},{""beds"":2},{""beds"":2},{""beds"":2}]}";13;"2021-05-28 12:22:35"
"Vidal-Gaytán y Flia.";328;68;"Hostal Olivia resort";"Praza Alberto, 681, 1º B";"L' Perea de San Pedro";62313;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3}]}";4;"2021-06-05 00:01:17"
"Flores-Luna y Flia.";240;69;"Casa rural Jordi park";"Camino Manuel, 36, 74º D";"Maya de las Torres";28751;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";2;"2020-02-22 21:23:44"
"Viajes Perales e Hijo";292;70;"Villa Lara park";"Passeig Duran, 278, 39º 0º";"San Reyna";38788;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3}]}";4;"2021-01-14 10:42:59"
Gómez-Matías;992;71;"Apartamento Izan ";"Avinguda Alonso, 3, 3º";"A Grijalva";00054;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2}]}";6;"2021-03-24 04:08:37"
Fonseca-Valadez;362;72;"Villa Marcos playa";"Travessera Aragón, 34, 3º 3º";"El Zapata";51232;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3}]}";6;"2020-04-29 07:57:46"
"Corporación Pineda S. de H.";4;73;"Casa rural Miguel Ángel resort";"Ruela Abreu, 4, Entre suelo 2º";"Mascareñas de Ulla";55034;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":3},{""beds"":1},{""beds"":1},{""beds"":1}]}";12;"2020-10-09 04:28:20"
"Oliver de Pons S. de H.";94B;74;"Hotel Ainhoa resort";"Camiño Andrés, 177, Entre suelo 9º";"Chacón de San Pedro";84085;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":3}]}";7;"2020-04-22 15:53:49"
"Nieves de Cadena SA";407;75;"Apartamentos Jesús playa";"Plaza Valero, 5, 17º A";"Vall Martos de Arriba";39128;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":2},{""beds"":2},{""beds"":2},{""beds"":2}]}";12;"2021-09-22 23:40:59"
"Echevarría y Montalvo SRL";857;76;"Casa rural África resort";"Camino Delrío, 80, 06º C";"Tello del Bages";22555;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";2;"2020-01-02 17:10:37"
Tamez-Negrón;868;77;"Casa rural Lucas park";"Plaça Vanegas, 496, 4º E";"San Cornejo";54582;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";3;"2021-07-29 23:29:53"
"Garica de Rodrigo SRL";770;78;"Apartamento Adam ";"Ruela Gabriel, 612, Ático 6º";"As Hernando";01106;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":3},{""beds"":1},{""beds"":1}]}";5;"2020-02-24 21:06:37"
"Velasco y Luna e Hijos";435;79;"Hotel Andrés park";"Camiño Uribe, 6, 4º B";"Vall De la Fuente";08757;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":2},{""beds"":1}]}";7;"2019-11-30 08:07:03"
"Ornelas y Limón y Flia.";7;80;"Casa rural Laia park";"Camino Navarrete, 97, 6º F";"Mena del Bages";06677;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2},{""beds"":3}]}";11;"2021-03-12 17:08:48"
"Treviño de Ros y Asoc.";120;81;"Hostal Alex playa";"Carrer Saldaña, 5, 2º";"Leyva del Vallès";75684;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3}]}";5;"2020-09-25 05:35:24"
"Mercado, Perea y Raya SA";689;82;"Hotel Rubén park";"Plaça Lemus, 48, 4º 7º";"Gámez del Puerto";75119;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3}]}";4;"2021-01-31 12:52:03"
"Zamora de Piñeiro e Hijo";477;83;"Casa rural Alejandra park";"Travessera Carla, 23, 86º C";"L' Vidal";51310;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3}]}";8;"2020-05-07 08:33:34"
"Castro y Roca";732;84;"Casa rural Teresa resort";"Camiño Hidalgo, 77, 93º C";"La Del Río Baja";99826;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":2}]}";5;"2021-01-12 21:28:29"
"Páez de Viera";900;85;"Apartamentos Miguel park";"Plaça Andrea, 17, 1º A";"Los Toledo del Pozo";06207;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":1}]}";4;"2020-12-02 02:57:09"
"Asociación Galindo-Morales";396;86;"Hostal Gloria park";"Passeig Olvera, 483, 4º D";"O Zepeda de la Sierra";82330;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":1},{""beds"":1},{""beds"":1},{""beds"":2}]}";11;"2021-01-23 10:34:30"
Quiñones-Alvarado;679;87;"Casa rural Ana María park";"Passeig Helena, 612, 77º B";"Os Pérez de las Torres";52172;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3}]}";6;"2020-01-01 00:58:58"
"Navarrete y Córdoba";100;88;"Hotel Gabriel ";"Calle Gabriela, 552, 1º D";"Os Duarte";45178;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":2},{""beds"":3},{""beds"":2},{""beds"":2},{""beds"":2}]}";14;"2021-01-31 05:33:38"
"Asociación Escalante SRL";761;89;"Apartamentos Biel playa";"Travesía Abrego, 364, 0º A";"Las Bernal del Vallès";76307;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3}]}";5;"2021-09-17 10:14:56"
"Gestora Nieto SA";709;90;"Hotel Eric park";"Rúa Zoe, 87, 4º B";"Os Lucio";80281;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":2},{""beds"":2},{""beds"":1}]}";6;"2020-01-29 16:06:46"
"Sandoval y Luna";519;91;"Apartamento Miguel playa";"Avinguda César, 273, 13º 9º";"Villa Alarcón";58392;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":1},{""beds"":1},{""beds"":1},{""beds"":2}]}";12;"2020-09-03 00:25:54"
"Jaramillo-Pineda e Hijos";742;92;"Apartamento Lucía playa";"Camino Luisa, 76, 6º C";"Villa Montalvo del Penedès";67034;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1}]}";1;"2021-09-10 15:42:08"
"Santamaría y Flores";201;93;"Apartamento Oriol resort";"Travesía Juan, 7, 0º D";"San Sepúlveda de Arriba";86799;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":1}]}";3;"2021-09-28 08:01:37"
"Sanz, Marcos y Ballesteros e Hijo";70;94;"Apartamentos Celia resort";"Avinguda Alex, 6, Bajo 6º";"El Téllez";74494;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":3},{""beds"":2},{""beds"":2}]}";11;"2020-05-24 17:32:54"
Alaniz-Herrero;573;95;"Apartamento Aina park";"Carrer Montenegro, 47, 47º A";"As Pozo";18189;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":1}]}";3;"2020-12-14 12:33:14"
"Grupo Limón-Ybarra";406;96;"Apartamento Carolina playa";"Avenida Barrios, 18, Entre suelo 5º";"Suárez del Penedès";29420;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2}]}";6;"2020-03-29 22:18:05"
Villaseñor-Gutiérrez;51;97;"Hostal Santiago playa";"Travesía Rubio, 72, 7º C";"Vall Mateo del Vallès";58241;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":1}]}";6;"2020-09-07 07:47:14"
"Contreras, Montez y Munguía SA";191;98;"Apartamento Miguel Ángel ";"Avinguda Pacheco, 70, 95º D";"San Ávalos";17907;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":1}]}";3;"2021-07-21 10:54:33"
"Ocasio, Porras y Henríquez SRL";640;99;"Apartamentos Eva park";"Plaça Álvarez, 32, 9º D";"La Berríos";24519;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":2},{""beds"":2}]}";11;"2020-08-31 09:58:18"
"Rojas de Casado SA";803;100;"Apartamento Naia resort";"Camino Ayala, 817, 49º E";"El Sauceda Medio";72809;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1}]}";1;"2020-07-09 05:11:16"
Alcántar-Tovar;190;101;"Apartamento Martín resort";"Ruela Raya, 21, 7º";"Regalado del Bages";21749;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":2},{""beds"":2},{""beds"":1},{""beds"":2}]}";10;"2020-08-28 18:43:19"
"Lara, Conde y Lorente y Asoc.";65;102;"Casa rural Alma ";"Plaza Aleix, 67, 0º C";"Narváez Alta";10405;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3}]}";8;"2021-07-12 05:06:33"
